Situation,Symptoms,Severity,FirstAidSteps,Medicines,EmergencyTriggers,Warnings
Fever (Adults),high body temperature above 38 degrees Celsius sweating chills shivering hot skin flushed face headache muscle aches fatigue loss of appetite dehydration rapid heartbeat,Moderate,"Rest in a cool comfortable room; Drink plenty of fluids (water, clear broths, juices); Apply cool damp cloth to forehead; Remove excess clothing; Take fever-reducing medicine; Monitor temperature every 30–60 minutes","Paracetamol (Acetaminophen) 500–1000mg, Ibuprofen 400mg, Cool compress, Thermometer, Oral rehydration fluids","Fever above 39.4°C (103°F) lasting more than 3 days, Fever with severe headache or stiff neck, Fever with rash, Difficulty breathing",Do NOT give Aspirin to children under 16. Do NOT over-bundle the patient. Febrile convulsions in children require immediate emergency care.
Fever (Children),elevated temperature above 38 degrees in child hot forehead flushed cheeks irritability crying restlessness loss of appetite sweating shivering rapid breathing febrile seizure risk,Moderate,"Keep child calm and resting; Give plenty of fluids (water, juice, oral rehydration solution); Dress in light clothing; Apply cool damp cloth to forehead and wrists; Give age-appropriate fever reducer; Monitor temperature regularly","Children's Paracetamol (syrup/suppository), Children's Ibuprofen (age 6+ months), Thermometer, ORS","Fever above 38°C in infants under 3 months, Fever above 39°C in children 3–6 months, Fever lasting more than 5 days, Child is unresponsive or hard to wake",NEVER give Aspirin to children — risk of Reye's syndrome. Dosage must be weight-based. Always consult a doctor for infants under 3 months.
Minor Burn (1st Degree),red skin redness superficial burn pain on touch dry skin no blisters mild swelling heat exposure sunburn scalding warm skin surface burn localized pain,Minor,Remove from heat source immediately; Cool the burn under cool (not cold/ice) running water for at least 10–20 minutes; Remove jewelry or tight items near the burn; Cover loosely with sterile non-stick dressing; Take pain relief if needed; Do NOT burst any blisters,"Burn gel / cooling gel, Sterile non-adhesive dressing, Paracetamol or Ibuprofen for pain, Aloe vera gel (soothing)","Burns larger than 3 inches, Burns on face/hands/feet/genitals/major joints, Blistering over large area, Suspected deep burn (no pain felt)","Do NOT use ice — it causes further tissue damage. Do NOT use toothpaste, butter, or oil. Do NOT break blisters. Do NOT use fluffy cotton wool directly on burn."
Severe Burn (2nd & 3rd Degree),large blisters deep tissue burn charred black skin white leathery skin severe pain or no pain due to nerve damage extensive redness swelling fluid oozing full thickness wound,Critical,Call emergency services immediately; Cool burn with cool running water for 20 minutes; Do NOT remove clothing stuck to the burn; Cover loosely with cling film or sterile dressing; Keep the patient warm to avoid shock; Monitor breathing and consciousness,"Cling film (covering only), Sterile dressings, IV fluids (hospital), Pain relief (hospital-administered)",Always — call 999/911/112 immediately,"Do NOT use ice, creams, or ointments on severe burns. Do NOT remove clothing stuck to the skin. Third-degree burns may be painless due to nerve destruction."
Chemical Burn,skin contact with acid or alkali burning sensation skin discoloration blistering chemical splash corrosive damage redness peeling tissue necrosis eye irritation if splashed,Severe,Ensure safety — wear gloves before helping; Remove contaminated clothing/jewelry; Flush affected area with large amounts of cool running water for 20–30 minutes; Do NOT try to neutralize the chemical; Cover loosely with sterile dressing; Call emergency services,"Sterile dressings, Eye wash (if eyes affected), IV fluids (hospital)",Always call emergency services immediately,"Do NOT apply creams or bandages tightly. Do NOT attempt to neutralize acid with alkali or vice versa. For eye exposure, irrigate eyes continuously."
Electrical Burn,entry and exit burn marks electrical contact muscle spasm loss of consciousness cardiac arrhythmia tingling numbness singed skin unconsciousness respiratory arrest internal tissue damage,Critical,"Do NOT touch the person if they are still in contact with the electrical source; Turn off the power supply at the source; Call emergency services immediately; If safe, begin CPR if person is unconscious and not breathing; Cover burns with sterile dressing; Treat for shock","Sterile dressings, AED (if cardiac arrest), CPR equipment",Always call emergency services — electrical injuries can cause internal damage not visible externally,Electrical burns may look minor but cause severe internal damage. Always seek emergency medical care. Risk of cardiac arrhythmia.
Cut / Wound (Minor),superficial skin cut laceration bleeding scrape abrasion minor bleeding sharp object wound skin broken redness around wound mild pain stinging sensation,Minor,Wash hands before treating; Apply gentle pressure with clean cloth or sterile gauze to stop bleeding; Clean the wound under running clean water for 5–10 minutes; Remove visible debris gently — do NOT probe deep wounds; Apply antiseptic solution or cream; Cover with sterile adhesive bandage or dressing; Change dressing daily,"Antiseptic solution (Betadine/Povidone-Iodine), Antiseptic wipes, Sterile gauze pads, Adhesive bandages (plasters), Antibiotic cream (Neosporin/Bacitracin), Medical tape","Wound will not stop bleeding after 10 minutes of pressure, Wound is deep / has jagged edges, Wound is on the face, Wound caused by animal/human bite, Signs of infection (redness, pus, swelling, warmth)",Do NOT use hydrogen peroxide inside a wound — it damages tissue. Tetanus booster may be needed for deep/dirty wounds. Seek medical care for puncture wounds.
Deep Laceration / Severe Cut,deep wound heavy uncontrolled bleeding gaping edges exposed tissue tendon or bone visible arterial bright red pulsing blood rapid blood loss pale sweating shock signs,Severe,"Apply firm direct pressure with clean cloth/gauze — do NOT lift to check frequently; If blood soaks through, add more gauze on top; Elevate the injured limb above heart level; Apply pressure bandage; Do NOT remove embedded objects; Call emergency services or transport to hospital; Treat for shock if needed","Sterile gauze, Pressure bandage, Tourniquet (for limb bleeding only — last resort), IV fluids (hospital)","Bleeding does not stop after 10–15 minutes of pressure, Wound is very deep, Suspected severed artery (bright red pulsing blood), Wound with embedded object",Do NOT remove embedded objects. Do NOT use a tourniquet unless bleeding is life-threatening and uncontrollable. Tourniquets should be noted with time of application.
Nosebleed,blood flowing from one or both nostrils nasal bleeding anterior epistaxis head tilt urge to swallow blood blood dripping from nose recent trauma or dryness,Minor,Have the person sit upright and lean slightly forward (NOT backward); Pinch the soft part of the nose firmly (just below the bony bridge); Breathe through the mouth; Hold for 10–15 minutes without releasing to check; Apply cold compress to the bridge of the nose; Do NOT tilt head back; Do NOT blow nose for several hours after,"Cold compress / ice pack (wrapped in cloth), Saline nasal spray (for dry nasal passages), Nasal decongestant spray (short-term only)","Nosebleed lasts more than 20–30 minutes, Caused by head injury, Blood loss is large, Person on blood-thinning medication",Do NOT tilt head backward — blood may flow into throat and cause vomiting. Do NOT stuff nose with tissue paper — it may damage fragile vessels.
Allergy (Mild),itchy skin hives rash redness sneezing runny nose watery eyes mild swelling urticaria allergic contact dermatitis food allergy trigger seasonal allergy skin reaction,Moderate,Identify and remove/avoid the allergen trigger immediately; Wash affected skin with soap and water if contact allergy; Apply cold compress to reduce itching/swelling; Take oral antihistamine; Monitor symptoms for worsening; Avoid scratching,"Oral antihistamine (Cetirizine / Loratadine / Diphenhydramine / Chlorpheniramine), Hydrocortisone cream (1%) for skin reactions, Calamine lotion, Cold compress","Symptoms worsen rapidly, Swelling of lips/tongue/throat, Difficulty breathing, Signs of anaphylaxis","Drowsiness is a common side effect of first-generation antihistamines (e.g., Diphenhydramine). Do NOT drive after taking them. Keep a record of the allergen."
Anaphylaxis (Severe Allergic Reaction),throat swelling tongue swelling difficulty breathing wheezing hives all over body rapid pulse drop in blood pressure dizziness loss of consciousness anaphylactic shock severe allergic emergency bee sting food drug trigger,Life-Threatening,"Call emergency services immediately; Use epinephrine auto-injector (EpiPen) into outer thigh; Lay the person flat — legs elevated (unless breathing difficulty, then semi-upright); Give a second dose of epinephrine after 5–15 minutes if no improvement; Begin CPR if person stops breathing; Stay with the person until help arrives","Epinephrine auto-injector (EpiPen / Auvi-Q), Antihistamine (secondary, after epinephrine), IV antihistamines/corticosteroids (hospital)",Always — this is a medical emergency,"Antihistamines alone are NOT sufficient for anaphylaxis. Epinephrine is the ONLY first-line treatment. Even after improvement, the patient must go to hospital — symptoms can return (biphasic reaction)."
Diarrhea,frequent loose watery stools abdominal cramping bloating nausea urgency to defecate dehydration dry mouth sunken eyes dark urine weakness electrolyte loss gastroenteritis food poisoning,Moderate,"Encourage increased fluid intake to prevent dehydration; Prepare and give Oral Rehydration Solution (ORS); Eat bland foods: bananas, rice, applesauce, toast (BRAT diet); Avoid dairy, fatty foods, and caffeine; Rest adequately; Wash hands thoroughly after each bathroom visit; For adults, consider anti-diarrheal medication if no fever","Oral Rehydration Salts (ORS / Pedialyte), Loperamide (Imodium — adults only, not if fever present), Probiotics (Lactobacillus), Zinc supplements (children), Clear fluids (water, coconut water, broth)","Diarrhea lasting more than 2 days in adults / 24 hours in infants, Blood or mucus in stool, Signs of severe dehydration, High fever alongside diarrhea",Do NOT give Loperamide to children under 12 or when there is bloody stool/fever — it can worsen bacterial infections. Keep breastfeeding infants on breast milk.
Vomiting,forceful stomach contents expelled through mouth nausea retching abdominal pain dehydration dry mouth weakness dizziness pale skin food poisoning gastritis viral illness motion sickness,Moderate,"Rest and avoid solid foods for several hours; Sip small amounts of clear fluids frequently; Once vomiting stops, gradually reintroduce bland foods; Avoid dairy, spicy, fatty foods; Keep the person upright or on their side if drowsy to prevent choking; Give ORS if signs of dehydration appear","Oral Rehydration Solution (ORS), Antiemetics (Domperidone / Metoclopramide — prescription), Ginger tea or candies (natural remedy), Ice chips to suck on","Vomiting lasts more than 24 hours, Blood in vomit, Signs of severe dehydration, Accompanied by severe headache or stiff neck, Vomiting after head injury","Do NOT give solid foods until vomiting has stopped for at least 2 hours. If vomiting after head injury, always seek emergency care — it may indicate concussion."
Headache (Tension),dull constant pressure around forehead temples tightness band around head neck stiffness eye strain stress dehydration fatigue mild to moderate pain bilateral headache,Minor,"Rest in a quiet, dark room; Drink adequate fluids — dehydration is a common cause; Apply cold or warm compress to forehead or neck; Gently massage temples and neck muscles; Take over-the-counter pain reliever if needed; Avoid screen time; Practice relaxation techniques / deep breathing","Paracetamol (Acetaminophen) 500–1000mg, Ibuprofen 400mg, Aspirin (adults only), Caffeine (small amount), Peppermint oil (topical)","Sudden severe 'thunderclap' headache, Headache after head injury, Headache with stiff neck + fever + rash, Headache with vision changes, Headache with confusion or weakness",'Thunderclap' headache (worst headache of life) may indicate subarachnoid hemorrhage — call emergency services immediately. Do NOT over-use pain relievers — can cause rebound headaches.
Migraine,severe throbbing one-sided headache nausea vomiting light sensitivity sound sensitivity aura visual disturbances zigzag lines blind spot pulsating pain hours to days duration,Moderate,"Move to a quiet, dark room immediately; Apply cold pack to forehead or neck; Take migraine medication at onset; Stay hydrated; Avoid triggers (bright lights, strong smells, noise); Try to sleep; Avoid screen time","Triptans (Sumatriptan — prescription), Ibuprofen 400–600mg, Paracetamol, Antiemetics (if nausea present), Ergotamines (prescription)","Migraine lasting more than 72 hours, First-ever severe headache, Headache with numbness/weakness/speech difficulty, Headache with fever + stiff neck",Triptans should not be used in people with cardiovascular disease. Medication overuse (more than 10 days/month) can worsen migraines. Always discuss with a doctor.
Insect Bite / Sting (Minor),localized redness swelling itching stinging sharp pain small puncture mark raised welt hive at bite site bee sting wasp ant mosquito spider bite mild inflammation,Minor,"Remove the stinger if present — scrape sideways with a card/fingernail, do NOT use tweezers (may squeeze more venom); Wash the area with soap and water; Apply cold compress or ice pack (wrapped in cloth) for 10 minutes; Elevate the affected limb; Apply antihistamine cream or calamine lotion to reduce itching; Take oral antihistamine if itching is severe; Do NOT scratch","Antihistamine cream (Hydrocortisone 1%), Calamine lotion, Oral antihistamine (Cetirizine/Loratadine), Ice pack, Antiseptic wipes, Paracetamol or Ibuprofen (for pain)","Signs of allergic reaction or anaphylaxis (swelling, difficulty breathing), Bee/wasp sting in mouth or throat, Multiple stings (risk of toxic reaction), Embedded tick",Do NOT use tweezers to remove bee stingers — it squeezes the venom sac. Watch for signs of Lyme disease after tick bites (bullseye rash). Remove ticks with fine-point tweezers close to skin.
Snake Bite,two puncture fang marks localized pain swelling bruising discoloration nausea vomiting blurred vision difficulty breathing drooping eyelids paralysis tissue necrosis neurotoxic or hemotoxic symptoms,Critical,Keep the person calm and still — movement increases venom spread; Call emergency services immediately; Remove tight clothing/jewelry near the bite; Keep the bitten limb below heart level; Mark the time of the bite and symptoms; Note appearance of the snake if possible (do NOT try to catch it); Lay the person down if feeling faint,"Antivenom (hospital-administered), IV fluids (hospital), Pain relief (hospital)",Always — all suspected venomous snake bites require emergency care,Do NOT cut the bite or try to suck out venom — this is ineffective and dangerous. Do NOT apply tourniquet or ice. Do NOT apply electric shock. Do NOT give the person alcohol.
Animal Bite,puncture wounds torn skin bleeding redness around wound pain swelling risk of rabies tetanus infection deep tooth marks animal saliva contamination wound infection signs,Moderate to Severe,Wash the wound thoroughly with soap and running water for at least 5 minutes; Apply gentle pressure to control bleeding; Apply antiseptic solution; Cover with sterile dressing; Seek medical attention — may need antibiotics and tetanus/rabies vaccination; Record details about the animal (vaccination status if possible),"Antiseptic solution (Povidone-Iodine), Sterile gauze / bandage, Antibiotics (prescription — Amoxicillin-Clavulanate), Tetanus toxoid injection (if not up to date), Rabies post-exposure prophylaxis (if indicated)","All animal bites, especially from wild/stray animals, Deep puncture wounds, If animal suspected of having rabies, Bite on face/head/hands/feet",Rabies is fatal if not treated promptly — do NOT delay medical attention for animal bites. All bites from stray or wild animals require rabies assessment. Cat bites are at high risk of infection.
Human Bite,tooth marks on skin skin broken bleeding high infection risk redness swelling warmth risk of hepatitis HIV transmission oral bacteria contamination wound showing signs of infection,Moderate,Wash the wound thoroughly with soap and clean running water for 5 minutes; Apply antiseptic solution; Cover with sterile dressing; Seek medical attention — risk of serious infection; Do NOT close the wound with tape if deep,"Antiseptic solution, Sterile dressing, Antibiotics (prescription — Amoxicillin-Clavulanate), Tetanus toxoid (if needed)",All human bites that break the skin — always seek medical care,Human bites carry high infection risk from oral bacteria. Deep human bites may transmit hepatitis B/C and HIV — medical assessment is essential.
Choking (Adult/Child over 1 year),sudden inability to speak breathe or cough silent choking hands clutching throat panicked expression turning blue cyanotic face reddened before cyanosis food or object lodged in airway,Life-Threatening,"Ask: 'Are you choking?' — if they can cough, encourage coughing; Give up to 5 firm back blows between shoulder blades with heel of hand; Check mouth — if obstruction visible, remove it carefully; If back blows fail, give up to 5 abdominal thrusts (Heimlich maneuver): stand behind person, place fist above navel, cover with other hand, thrust sharply inward and upward; Alternate 5 back blows and 5 abdominal thrusts; If person loses consciousness, begin CPR and call emergency services",No medicines required — this is a physical intervention only,"If person becomes unconscious — call 999/911/112 immediately, Obstruction cannot be cleared after repeated attempts",Do NOT perform blind finger sweeps in the mouth. Do NOT perform abdominal thrusts on infants — use back blows and chest thrusts only. Abdominal thrusts can cause internal injury — always seek medical evaluation afterward.
